doc,label
이준식 부총리 겸 교육부장관도 지난 3일 국회 예산결산특별위원회 전체회의에 참석해 “최순실 의혹과 관련 없이 계획대로 (국정교과서를) 추진할 예정”이라고 말했다.,<이준식:PER> 부총리 겸 교육부장관도 <지난 3일:DAT> 국회 예산결산특별위원회 전체회의에 참석해 “<최순실:PER> 의혹과 관련 없이 계획대로 (국정교과서를) 추진할 예정”이라고 말했다.
"부여박물관 이경수 학예사는 “이번 특별전은 능산리 사지로 대표되는 사비백제 시대의 삶과 문화, 고대 칠기 제작기법과 백제 회화를 알리는 계기가 될 것”이라고 말했다.","부여박물관 <이경수:PER> 학예사는 “이번 특별전은 능산리 사지로 대표되는 <사비백제 시대:DAT>의 삶과 문화, 고대 칠기 제작기법과 백제 회화를 알리는 계기가 될 것”이라고 말했다."
"하루는 탁발승이 쌀을 구걸하러 왔는데 부자가 똥을 퍼 주었더니 살던 곳이 갑자기 푹 꺼져서 호수가 되었고, 쌓아 둔 곡식은 모두 자그마한 조개로 변했다.","하루는 탁발승이 쌀을 구걸하러 왔는데 부자가 똥을 퍼 주었더니 살던 곳이 갑자기 푹 꺼져서 호수가 되었고, 쌓아 둔 곡식은 모두 자그마한 조개로 변했다."
"PSI는 대량살상무기(WMD) 확산 우려국 또는 비(非)국가행위자의 WMD, 운반 수단, 관련 물질 등의 불법 거래를 차단하기 위한 국제적 공동 협력체로 PSI 참여국들이 주기적으로 훈련을 주관한다.","PSI는 대량살상무기(WMD) 확산 우려국 또는 비(非)국가행위자의 WMD, 운반 수단, 관련 물질 등의 불법 거래를 차단하기 위한 국제적 공동 협력체로 PSI 참여국들이 주기적으로 훈련을 주관한다."
지난해 동양생명을 인수한 중국 안방보험이 알리안츠생명 한국 법인까지 인수하기로 해 국내 보험업계가 긴장하고 있다.,<지난해:DAT> 동양생명을 인수한 중국 안방보험이 알리안츠생명 한국 법인까지 인수하기로 해 국내 보험업계가 긴장하고 있다.
"길이 118m, 폭 24m에 1만1779t으로 선체가 거대한 데다 침몰 수심이 800m에 달해 이집트 정부는 기술적으로 인양이 불가능하다는 결론을 내렸다.","길이 118m, 폭 24m에 1만1779t으로 선체가 거대한 데다 침몰 수심이 800m에 달해 이집트 정부는 기술적으로 인양이 불가능하다는 결론을 내렸다."
"먼저 U+VR은 VR헤드셋을 통해 손나은, 차은우 등 유명 연예인을 눈앞에서 보듯이 오붓한 1대 1 데이트를 즐길 수 있어 팬심을 자극한다.","먼저 U+VR은 VR헤드셋을 통해 <손나은:PER>, <차은우:PER> 등 유명 연예인을 눈앞에서 보듯이 오붓한 1대 1 데이트를 즐길 수 있어 팬심을 자극한다."
"보다 활발한 숙의(熟議)와 소통이 필요하다."" ☞김우창―1937년 전남 함평 출생","보다 활발한 숙의(熟議)와 소통이 필요하다."" ☞<김우창:PER>―<1937년:DAT> 전남 함평 출생"
1년 단위로 업무를 추진하는 기재부는 보통 연말에 정기국회 예산안과 쟁점법안 통과를 목표로 국회 설득에 집중한다.,<1년:DAT> 단위로 업무를 추진하는 기재부는 보통 <연말:DAT>에 정기국회 예산안과 쟁점법안 통과를 목표로 국회 설득에 집중한다.
V30은 이달초 미국에 출시돼 이번 평가에 포함되지 않았다.,V30은 <이달초:DAT> 미국에 출시돼 이번 평가에 포함되지 않았다.
"룰라프 위원장은 올해 말까지 나사(NASA)와 협업해 필리핀 상공을 다니며, 필리핀 위성 데이터를 축적하는 것에서 나아가 한국 데이터와의 비교ㆍ분석을 통해 양질의 알고리즘을 도출할 계획이라 밝혔다.","<룰라프:PER> 위원장은 <올해 말까지:DAT> 나사(NASA)와 협업해 필리핀 상공을 다니며, 필리핀 위성 데이터를 축적하는 것에서 나아가 한국 데이터와의 비교ㆍ분석을 통해 양질의 알고리즘을 도출할 계획이라 밝혔다."
