doc,label
최현우씨는 “우리나라에도 마술 전용 극장이 생겨 무척 기쁘다. 마술 실력은 무대 경험을 쌓을수록 는다. 이곳에서 실력을 쌓은 마술사들이 해외에 한국 마술을 알리는 날이 올 것으로 기대한다”고 말했다.,최현우씨는 “우리나라에도 마술 전용 극장이 생겨 무척 기쁘다. 마술 실력은 무대 경험을 쌓을수록 는다. 이곳에서 실력을 쌓은 마술사들이 해외에 한국 마술을 알리는 날이 올 것으로 기대한다”고 말했다.
특히 프라다와 태그호이어 등 32개 브랜드는 국내에서는 처음으로 아웃렛에 들어섰다.,특히 프라다와 태그호이어 등 <32개:QNT> 브랜드는 국내에서는 처음으로 아웃렛에 들어섰다.
"한 언론사 기사엔 ""문 대통령이 특전사 출신다운 면모를 유감없이 과시했다""는 내용이 있었다.","한 언론사 기사엔 ""문 대통령이 특전사 출신다운 면모를 유감없이 과시했다""는 내용이 있었다."
경찰은 쿠아치 형제를 사살한 후 불과 15분 만에 쿨리발리가 있는 식료품점을 공격했다.,경찰은 쿠아치 형제를 사살한 후 불과 15분 만에 쿨리발리가 있는 식료품점을 공격했다.
"“도스토옙스키 자신은 가난과 빚에 시달렸지만, 그로 인해 형성된 번뜩이는 사회에 대한 문제의식은 수없는 거작을 만들어내는 자양분이 되었다.","“도스토옙스키 자신은 가난과 빚에 시달렸지만, 그로 인해 형성된 번뜩이는 사회에 대한 문제의식은 수없는 거작을 만들어내는 자양분이 되었다."
아이폰은 올해 1분기에만 3743만대를 판매하며 여전히 승승장구하고 있다.,아이폰은 올해 1분기에만 <3743만대:QNT>를 판매하며 여전히 승승장구하고 있다.
군 출신의 전두환 전 대통령은 을지연습 기간에 가족을 데리고 B1 벙커에 들어와 이틀간 머무르며 직접 훈련을 지휘하기도 한 것으로 전해졌다.,군 출신의 전두환 전 대통령은 을지연습 기간에 가족을 데리고 B1 벙커에 들어와 이틀간 머무르며 직접 훈련을 지휘하기도 한 것으로 전해졌다.
선두에 0.25초 뒤진 부담을 안고 2차 레이스에 나선 모태범은 안 쪽 코스를 탔음에도 불구하고 2차 레이스에선 0.01초 늘어난 34초85를 기록하며 격차를 좁히는 데 실패했다.,선두에 0.25초 뒤진 부담을 안고 <2차:QNT> 레이스에 나선 모태범은 안 쪽 코스를 탔음에도 불구하고 <2차:QNT> 레이스에선 0.01초 늘어난 34초85를 기록하며 격차를 좁히는 데 실패했다.
10세 미만에서는 남자 환자가 더 많았지만 20대 이상부터는 여성 환자가 남성보다 2배 이상 많았다.,<10세:QNT> 미만에서는 남자 환자가 더 많았지만 <20대 이상:QNT>부터는 여성 환자가 남성보다 <2배 이상:QNT> 많았다.
"‘어벤져스’의 이름이 왜 ‘어벤져스’였는지, 닉 퓨리가 안대를 차고 등장하게 된 결정적인 이야기까지 그려져 있었다.","‘어벤져스’의 이름이 왜 ‘어벤져스’였는지, 닉 퓨리가 안대를 차고 등장하게 된 결정적인 이야기까지 그려져 있었다."
그리고 의대 졸업장도 없이 연세대 의대 교수 공개채용에 지원했다.,그리고 의대 졸업장도 없이 연세대 의대 교수 공개채용에 지원했다.
남매는 살곶이조각공원의 '명물'이 됐다.,남매는 살곶이조각공원의 '명물'이 됐다.
금빛 화살 김종호… 3관왕 명중,금빛 화살 김종호… <3관왕:QNT> 명중
최근 한 대학 커뮤니티에서는 ‘이제 막 자격증을 딴 강사에게 필라테스 수업을 들었는데 허벅지 일부 근육만 지나치게 발달해 다리 모양이 울퉁불퉁해졌다’는 글이 올라왔다.,최근 한 대학 커뮤니티에서는 ‘이제 막 자격증을 딴 강사에게 필라테스 수업을 들었는데 허벅지 일부 근육만 지나치게 발달해 다리 모양이 울퉁불퉁해졌다’는 글이 올라왔다.
1957년 소련이 인류 최초 인공위성 스푸트니크호를 발사하자 미국은 '달은 미국인이 먼저 밟겠다'고 맞섰다.,1957년 소련이 인류 최초 인공위성 스푸트니크호를 발사하자 미국은 '달은 미국인이 먼저 밟겠다'고 맞섰다.
배우 공명이 신인남우상 수상의 영예를 안았다.,배우 공명이 신인남우상 수상의 영예를 안았다.
민간 경력 5급 채용시험에 합격해 중앙공무원교육원(이하 교육원)에서 신임 사무관 교육을 받던 일부 남자 교육생들이 여자 교육생을 성희롱·성추행했다는 주장이 제기됐다.,민간 경력 <5급:QNT> 채용시험에 합격해 중앙공무원교육원(이하 교육원)에서 신임 사무관 교육을 받던 일부 남자 교육생들이 여자 교육생을 성희롱·성추행했다는 주장이 제기됐다.
더불어민주당에 있다가 손 의장을 따라 탈당해 최근 무소속으로 있던 이찬열 의원과 박우섭 인천 남구청장도 이날 국민의당에 동반 합류했다.,더불어민주당에 있다가 손 의장을 따라 탈당해 최근 무소속으로 있던 이찬열 의원과 박우섭 인천 남구청장도 이날 국민의당에 동반 합류했다.
"그는 ""저의 처분에 흔쾌히 승복한 사람이 얼마나 되겠느냐""면서도 검사 생활 동안 자신이 처리한 사건에서 피의자가 목숨을 버린 기억이 없었던 것이 다행이라는 소회를 밝혔다.","그는 ""저의 처분에 흔쾌히 승복한 사람이 얼마나 되겠느냐""면서도 검사 생활 동안 자신이 처리한 사건에서 피의자가 목숨을 버린 기억이 없었던 것이 다행이라는 소회를 밝혔다."
그런데 이런 분석 기술은 기초과학지원연구원이 독보적이다.,그런데 이런 분석 기술은 기초과학지원연구원이 독보적이다.
"대법관으로서, 나라의 큰 재판을 하러 들어가는 거고, 차에서 내려서 모든 기자들 앞에 서기 전에 권남우(박형식 분)가 썼던 쪽지를 한 번 읽어보고 다시 옷깃에 넣고 딱 내린다.","대법관으로서, 나라의 큰 재판을 하러 들어가는 거고, 차에서 내려서 모든 기자들 앞에 서기 전에 권남우(박형식 분)가 썼던 쪽지를 <한 번:QNT> 읽어보고 다시 옷깃에 넣고 딱 내린다."
"이외에도 SK텔레콤은 0브랜드 혜택과 이벤트를 모바일에서 이용할 수 있는 0고객 전용 앱 ‘0한동’을 제공하고 있으며, 향후에도 지속적으로 0고객 대상 프로그램을 확대해 나갈 계획이다.","이외에도 SK텔레콤은 0브랜드 혜택과 이벤트를 모바일에서 이용할 수 있는 0고객 전용 앱 ‘0한동’을 제공하고 있으며, 향후에도 지속적으로 0고객 대상 프로그램을 확대해 나갈 계획이다."
1962: 원자력발전대책위원회 구성.,1962: 원자력발전대책위원회 구성.
전면 스크린을 원한다면 디스플레이 모드라는 플립형 디스플레이를 추가로 구매해야 한다.,전면 스크린을 원한다면 디스플레이 모드라는 플립형 디스플레이를 추가로 구매해야 한다.
서희재단의 얼굴은 서희 자신이다.,서희재단의 얼굴은 서희 자신이다.
한두 곳은 1%를 웃돌 수도 있지만 4곳이 다 그러기는 불가능하다.,<한두 곳:QNT>은 <1%:QNT>를 웃돌 수도 있지만 <4곳:QNT>이 다 그러기는 불가능하다.
지난해 11월 오송에 새 병원을 열었다.,지난해 11월 오송에 새 병원을 열었다.
미·중·일이 동북아 주도권을 놓고 빠르게 움직이고 있다.,미·중·일이 동북아 주도권을 놓고 빠르게 움직이고 있다.
유가증권시장 상장 계획을 밝힌 삼성에스디에스(SDS)의 주가가 장외시장에서 급등했다.,유가증권시장 상장 계획을 밝힌 삼성에스디에스(SDS)의 주가가 장외시장에서 급등했다.
"""네거티브에 대응하지 않겠다""던 박 후보가 직접 나섰다.","""네거티브에 대응하지 않겠다""던 박 후보가 직접 나섰다."
"“진화나 인종, 영양, 노화 등이 치아에 영향을 줘요.","“진화나 인종, 영양, 노화 등이 치아에 영향을 줘요."
"<수학의 정석>과 <성문 종합영어>가 공부하는 학생들의 바이블이었다면, <이정선 기타 교실>은 통기타를 배우는 이들의 바이블이었다.","<수학의 정석>과 <성문 종합영어>가 공부하는 학생들의 바이블이었다면, <이정선 기타 교실>은 통기타를 배우는 이들의 바이블이었다."
"남성용과의 차이점은 여성용은 다이아몬드 세팅과 다양한 문자판 색상으로 출시되었다.""","남성용과의 차이점은 여성용은 다이아몬드 세팅과 다양한 문자판 색상으로 출시되었다."""
중국 정부가 공식적으로 밝힌 지방부채는 2010년 말 기준 10조7000억위안이다.,중국 정부가 공식적으로 밝힌 지방부채는 2010년 말 기준 <10조7000억위안:QNT>이다.
지난달에도 4세 남자 어린이가 자신이 내린 어린이집 통학버스에 치여 숨졌다.,지난달에도 <4세:QNT> 남자 어린이가 자신이 내린 어린이집 통학버스에 치여 숨졌다.
1030만명 정보 유출 인터파크에 45억 과징금,<1030만명:QNT> 정보 유출 인터파크에 <45억:QNT> 과징금
"이미 구속된 장학사 3명과 교사 1명은 물론 소환조사를 받은 교사들 대부분이 혐의를 인정한 상황이며, 초등 분야 시험에 대한 수사도 진행중이다.","이미 구속된 장학사 <3명:QNT>과 교사 <1명:QNT>은 물론 소환조사를 받은 교사들 대부분이 혐의를 인정한 상황이며, 초등 분야 시험에 대한 수사도 진행중이다."
더불어 이수만 총괄 프로듀서는 “미래에는 셀러브리티와 관계된 비즈니스가 더욱 중요해지는 세상이 될 것이라고 본다.,더불어 이수만 총괄 프로듀서는 “미래에는 셀러브리티와 관계된 비즈니스가 더욱 중요해지는 세상이 될 것이라고 본다.
하지만 박 위원장은 “이건 착한 선물이니 괜찮다.,하지만 박 위원장은 “이건 착한 선물이니 괜찮다.
"롯데마트·홈플러스는 이날 ""오늘 오전에 해당 제품을 매장에서 모두 철수시켰다""며 ""온라인에서의 판매도 전면 중단하기로 했다""고 밝혔다.","롯데마트·홈플러스는 이날 ""오늘 오전에 해당 제품을 매장에서 모두 철수시켰다""며 ""온라인에서의 판매도 전면 중단하기로 했다""고 밝혔다."
프랑스에선 올 여름 폭염으로 약 1500명이 사망했다는 공식 발표가 나왔다.,프랑스에선 올 여름 폭염으로 <약 1500명:QNT>이 사망했다는 공식 발표가 나왔다.
◇겨울 운동 시 주의할 점,◇겨울 운동 시 주의할 점
개나 소나 정치에 참견질이니”라며 비아냥댄다.,개나 소나 정치에 참견질이니”라며 비아냥댄다.
"감사원은 1일 항공관제시스템 국산화 사업에서 허위 보고와 예산 횡령, 금품 수수 혐의가 드러난 이들에 대해 지난달 검찰에 수사 요청했다고 밝혔다.","감사원은 1일 항공관제시스템 국산화 사업에서 허위 보고와 예산 횡령, 금품 수수 혐의가 드러난 이들에 대해 지난달 검찰에 수사 요청했다고 밝혔다."
"국회 환경노동위원장, 당 원내대표에 이어 2011년 당 대표에 선출됐다.","국회 환경노동위원장, 당 원내대표에 이어 2011년 당 대표에 선출됐다."
장씨는 직원에게 도장과 신분증을 맡겼다.,장씨는 직원에게 도장과 신분증을 맡겼다.
18개국 작가 64명 작품 선봬,<18개국:QNT> 작가 <64명:QNT> 작품 선봬
이 때문에 화상경마장 등의 개별소비세 인상이 사행산업 억제 효과는 없이 서민을 상대로 한 손쉬운 세수 증대 수단이 될 것이란 전망이 나온다.,이 때문에 화상경마장 등의 개별소비세 인상이 사행산업 억제 효과는 없이 서민을 상대로 한 손쉬운 세수 증대 수단이 될 것이란 전망이 나온다.
이용자가 급증하고 있는 한게임이 메울 수 있는 부분이었다.,이용자가 급증하고 있는 한게임이 메울 수 있는 부분이었다.
정부와 협의 규정한 ‘진주의료원법’ 무산,정부와 협의 규정한 ‘진주의료원법’ 무산
대통령이 사건의 ‘주범’ 된 경우잖아요.,대통령이 사건의 ‘주범’ 된 경우잖아요.
국민을 하나로 묶고 정치가 해결할 수 없는 일을 해낸다.,국민을 <하나:QNT>로 묶고 정치가 해결할 수 없는 일을 해낸다.
차량 222대가 실려 있던 차고에서 발생한 불은 강풍을 타고 순식간에 번졌다.,차량 <222대:QNT>가 실려 있던 차고에서 발생한 불은 강풍을 타고 순식간에 번졌다.
"모든 척도에서 시술 후 3개월, 6개월, 12개월 후 까지 계속해서 호전됐으며 특별한 부작용은 확인되지 않았다.","모든 척도에서 시술 후 3개월, 6개월, 12개월 후 까지 계속해서 호전됐으며 특별한 부작용은 확인되지 않았다."
외교부는 작년에 3년 이상 근무한 계약직을 대상으로 정규직 채용을 위한 시험을 치렀다.,외교부는 작년에 3년 이상 근무한 계약직을 대상으로 정규직 채용을 위한 시험을 치렀다.
본인들은 어려워도 자식들에겐 뭔가 해주고 싶어서 그랬던 것 같아요.,본인들은 어려워도 자식들에겐 뭔가 해주고 싶어서 그랬던 것 같아요.
이 상어 태아는 또 자궁경관을 통해 밖을 내다보는 행동을 보였다.,이 상어 태아는 또 자궁경관을 통해 밖을 내다보는 행동을 보였다.
"누군가와 ‘썸’을 타는 것보다 중요하고, 어떤 상황에서도 먹고 싶은 강렬한 신라면의 중독성을 재치있게 표현했다.","누군가와 ‘썸’을 타는 것보다 중요하고, 어떤 상황에서도 먹고 싶은 강렬한 신라면의 중독성을 재치있게 표현했다."
그러나 월드컵이 시작된 뒤 경기는 물론이고 모든 것이 잘 돌아갔다.,그러나 월드컵이 시작된 뒤 경기는 물론이고 모든 것이 잘 돌아갔다.
자녀 등교거부 검토 등 강력 반발,자녀 등교거부 검토 등 강력 반발
"郭교육감, 사립학교 관선 이사에 좌파 인사 대거 추천","郭교육감, 사립학교 관선 이사에 좌파 인사 대거 추천"
강사법을 폐기하고 비전임 교원들에게 2~3년 단위 재임용 계약과 생활임금을 보장하는 연구강의교수제를 도입해야 한다”고 주장했다.,강사법을 폐기하고 비전임 교원들에게 2~3년 단위 재임용 계약과 생활임금을 보장하는 연구강의교수제를 도입해야 한다”고 주장했다.
"특별조사국, 검찰과 ‘공조 수사’ 나서기로","특별조사국, 검찰과 ‘공조 수사’ 나서기로"
주인공 페터 슐레밀은 회색 양복을 입은 정체불명의 남자에게 자신의 그림자를 팔고 그 대가로 엄청난 부와 명예를 얻게 된다.,주인공 페터 슐레밀은 회색 양복을 입은 정체불명의 남자에게 자신의 그림자를 팔고 그 대가로 엄청난 부와 명예를 얻게 된다.
전국 7대 도시 가운데 가장 낮다.,전국 <7대:QNT> 도시 가운데 가장 낮다.
승객 탈출은 추락하고 90초가 지난 뒤 2번 탑승구에 있던 승무원이 동체 외부 중간쯤에서 불길이 치솟는 것을 창문을 통해 목격하고 이를 조종실에 보고한 뒤에야 시작됐다고 미국 <시비에스>(CBS) 방송 등이 보도했다.,승객 탈출은 추락하고 90초가 지난 뒤 <2번:QNT> 탑승구에 있던 승무원이 동체 외부 중간쯤에서 불길이 치솟는 것을 창문을 통해 목격하고 이를 조종실에 보고한 뒤에야 시작됐다고 미국 <시비에스>(CBS) 방송 등이 보도했다.
LG전자는 한국과학기술원(KAIST)과 함께 5G를 넘어 6G(6세대 이동통신) 기술을 연구·개발하는 '6G 연구센터'도 설립했다.,LG전자는 한국과학기술원(KAIST)과 함께 5G를 넘어 6G(6세대 이동통신) 기술을 연구·개발하는 '6G 연구센터'도 설립했다.
"그는 이어 ""이들 어장뿐 아니라 가파도 등 부속 섬을 제외한 대부분의 마을 공동어장에서 잡히는 전복의 자연산 비율도 10% 이하여서 문제가 심각하다""고 밝혔다.","그는 이어 ""이들 어장뿐 아니라 가파도 등 부속 섬을 제외한 대부분의 마을 공동어장에서 잡히는 전복의 자연산 비율도 <10% 이하:QNT>여서 문제가 심각하다""고 밝혔다."
작년 여름 함춘호 밴드와 함께 녹음한 곡들이다.,작년 여름 함춘호 밴드와 함께 녹음한 곡들이다.
이에 김 위원장은 “당시 부가세 폐지 문제에 대한 입장을 정리해 달라고 해서 국보위에 가게 된 것”이라고 반박했다.,이에 김 위원장은 “당시 부가세 폐지 문제에 대한 입장을 정리해 달라고 해서 국보위에 가게 된 것”이라고 반박했다.
이 단체 장덕환 사무총장은 이날 <한겨레>와 한 통화에서 “선친들이 겪은 고통을 가슴에 새기고 일제 식민지 36년의 한을 풀고자 일본대사관 앞에 강제징용 노동자 석상을 설치하려고 한다.,이 단체 장덕환 사무총장은 이날 <한겨레>와 한 통화에서 “선친들이 겪은 고통을 가슴에 새기고 일제 식민지 36년의 한을 풀고자 일본대사관 앞에 강제징용 노동자 석상을 설치하려고 한다.
"고용노동부가 이날 발표한 올 1분기(1~3월) ‘구직(실업)급여 신규 신청 동향’을 보면, 울산의 실직자(구직급여 신규 신청자)는 9454명으로 지난해 같은 기간보다 18.2%(1458명) 증가했다.","고용노동부가 이날 발표한 올 1분기(1~3월) ‘구직(실업)급여 신규 신청 동향’을 보면, 울산의 실직자(구직급여 신규 신청자)는 <9454명:QNT>으로 지난해 같은 기간보다 <18.2%:QNT>(<1458명:QNT>) 증가했다."
코트 위에 재킷을 다시 걸칠 수 있게 제작했다”고 설명했다.,코트 위에 재킷을 다시 걸칠 수 있게 제작했다”고 설명했다.
사원들 동향을 예의 주시하고 사소한 것일지언정 사장한테 보고해 주시기 바란다.,사원들 동향을 예의 주시하고 사소한 것일지언정 사장한테 보고해 주시기 바란다.
"“1947년 미국이 은밀하게, 때로는 공개적으로 그 많은 정권들(미국은 위협적이라고 생각했지만 사실 대부분이 중립적이고 개혁적이고 합법적이었다을 전복하려 하지 않았다면 오늘날 미국이 그토록 걱정스러워하는 극단주의자들은 훨씬 적었을 것이다.”","“1947년 미국이 은밀하게, 때로는 공개적으로 그 많은 정권들(미국은 위협적이라고 생각했지만 사실 대부분이 중립적이고 개혁적이고 합법적이었다을 전복하려 하지 않았다면 오늘날 미국이 그토록 걱정스러워하는 극단주의자들은 훨씬 적었을 것이다.”"
"의학의 발달로 '100세 시대'가 열렸다지만, 아직도 인류는 정복하지 못한 질병들과 싸우고 있다.","의학의 발달로 '<100세:QNT> 시대'가 열렸다지만, 아직도 인류는 정복하지 못한 질병들과 싸우고 있다."
세계에서 네 번째로 자국 원전을 갖게 됐는데?,세계에서 <네 번째:QNT>로 자국 원전을 갖게 됐는데?
프레드릭 콘스탄트는 여성을 위한 진정한 고급스러움은 화려함보다 절제된 단순함의 미학으로부터 나온다고 여기고 절제된 우아함이 특징인 아르데코 양식을 적용했다.,프레드릭 콘스탄트는 여성을 위한 진정한 고급스러움은 화려함보다 절제된 단순함의 미학으로부터 나온다고 여기고 절제된 우아함이 특징인 아르데코 양식을 적용했다.
김진홍 동대문서장은 “전통시장 상인과 손님의 90% 이상이 고령자라서 지역 특성에 맞는 보행자 대책이 필요했다”며 “향후 경동시장 주변 상가로도 확대할 계획”이라고 말했다.,김진홍 동대문서장은 “전통시장 상인과 손님의 <90% 이상:QNT>이 고령자라서 지역 특성에 맞는 보행자 대책이 필요했다”며 “향후 경동시장 주변 상가로도 확대할 계획”이라고 말했다.
"◇'치매 예방약' 오메가3, 두뇌 기능 향상 도와","◇'치매 예방약' 오메가3, 두뇌 기능 향상 도와"
남자 쇼트트랙은 금메달 후보에서 빠져 있다.,남자 쇼트트랙은 금메달 후보에서 빠져 있다.
효성 측은 자동차·전기전자 분야 내외장재 및 연료계통 부품 등 고부가 엔지니어링 플라스틱 용도로 적용될 수 있을 것으로 기대하고 있다.,효성 측은 자동차·전기전자 분야 내외장재 및 연료계통 부품 등 고부가 엔지니어링 플라스틱 용도로 적용될 수 있을 것으로 기대하고 있다.
-5년전보다 후퇴한 문 발언 왜?-,-5년전보다 후퇴한 문 발언 왜?-
"게임을 실행하면 듀얼 스크린은 게임 화면으로, 스마트폰은 게임 컨트롤러로 이용하는 등 활용도를 높였다는 설명이다.","게임을 실행하면 듀얼 스크린은 게임 화면으로, 스마트폰은 게임 컨트롤러로 이용하는 등 활용도를 높였다는 설명이다."
경찰청에서는 이 때문에 2015년부터 ‘사랑의 지우개’ 사업을 벌이고 있다.,경찰청에서는 이 때문에 2015년부터 ‘사랑의 지우개’ 사업을 벌이고 있다.
가족을 찾으려 우왕좌왕하는 시간을 줄여준 이 쪽지는 많은 사람의 목숨을 구했다고 한다.,가족을 찾으려 우왕좌왕하는 시간을 줄여준 이 쪽지는 많은 사람의 목숨을 구했다고 한다.
◇ 2016년-애플 에어팟,◇ 2016년-애플 에어팟
서울행정법원 행정6부(재판장 김홍도)는 김씨가 교과부 교원소청심사위원회를 상대로 낸 ‘파면처분 취소 소청심사결정 취소’ 청구소송에서 “파면처분을 해임처분으로 바꾼 결정은 과중한 처분으로 취소돼야 한다”고 판결했다고 7일 밝혔다.,서울행정법원 행정<6부:QNT>(재판장 김홍도)는 김씨가 교과부 교원소청심사위원회를 상대로 낸 ‘파면처분 취소 소청심사결정 취소’ 청구소송에서 “파면처분을 해임처분으로 바꾼 결정은 과중한 처분으로 취소돼야 한다”고 판결했다고 7일 밝혔다.
"이 대통령은 선관위에 경선 선거비용으로 21억1000만원, 대선 본선 선거비용으로 327억4900만원을 신고했다.","이 대통령은 선관위에 경선 선거비용으로 <21억1000만원:QNT>, 대선 본선 선거비용으로 <327억4900만원:QNT>을 신고했다."
이 프로젝트의 실험대상이 된 허리케인 데비는 처음엔 풍속이 약 30% 정도 약해지는가 싶더니 이내 되살아나 예측불허의 허리케인으로 돌변하고 만 것이다.,이 프로젝트의 실험대상이 된 허리케인 데비는 처음엔 풍속이 <약 30% 정도:QNT> 약해지는가 싶더니 이내 되살아나 예측불허의 허리케인으로 돌변하고 만 것이다.
