doc,label
"그간 기상청 국립기상과학원은 기상항공기를 이용한 인공강우 실험을, 환경부 국립환경과학원은 인공강우로 인한 미세먼지 저감 효과를 분석하는 역할을 맡았다.","그간 기상청 국립기상과학원은 기상항공기를 이용한 인공강우 실험을, 환경부 국립환경과학원은 인공강우로 인한 미세먼지 저감 효과를 분석하는 역할을 맡았다."
"‘프랑스 부르고뉴 와인 협회’에서는 부르고뉴 와인 전문가 과정을 운영하면서 이수자들에게 인증서를 발급하며, 이 인증서가 있는 사람만이 ‘부르고뉴 와인 심화 과정’ 강의를 진행할 수 있는 자격을 준다.","‘프랑스 부르고뉴 와인 협회’에서는 부르고뉴 와인 전문가 과정을 운영하면서 이수자들에게 인증서를 발급하며, 이 인증서가 있는 사람만이 ‘부르고뉴 와인 심화 과정’ 강의를 진행할 수 있는 자격을 준다."
"◆고 구본무 회장, LG의인상 제정 전후에도 사재 털어 의인들 전폭 지원","◆고 구본무 회장, LG의인상 제정 전후에도 사재 털어 의인들 전폭 지원"
스키점핑타워는 스키점프경기장 베이직하우스에서 330m의 모노레일을 탑승해 타워 스카이라운지까지 이동하게 되며 스넥 및 음료를 마시며 대관령 초원과 스키점프 선수들의 비상하는 모습을 감상할 수 있다.,스키점핑타워는 스키점프경기장 베이직하우스에서 330m의 모노레일을 탑승해 타워 스카이라운지까지 이동하게 되며 스넥 및 음료를 마시며 <대관령:LOC> 초원과 스키점프 선수들의 비상하는 모습을 감상할 수 있다.
총공사비는 2억 원이 소요되며 4월 말 완공 예정이다.,총공사비는 2억 원이 소요되며 4월 말 완공 예정이다.
"이어, 본격적인 이동통신 기반 V2X 기술 설명을 시작한 박 디렉터는 주행 중 차량에 5G를 결합할 경우, 현재 이용자가 관여되지 않는 기기 간 통신 가능성도 제시했다.","이어, 본격적인 이동통신 기반 V2X 기술 설명을 시작한 박 디렉터는 주행 중 차량에 5G를 결합할 경우, 현재 이용자가 관여되지 않는 기기 간 통신 가능성도 제시했다."
한 여성이 내면의 연약함을 극복하고 자신감 넘치는 자아를 발견하기 위해 자전거로 2년간 세계 곳곳을 누비며 변화와 성장을 도모한 감동적인 기록이 책으로 나왔다.,한 여성이 내면의 연약함을 극복하고 자신감 넘치는 자아를 발견하기 위해 자전거로 2년간 세계 곳곳을 누비며 변화와 성장을 도모한 감동적인 기록이 책으로 나왔다.
그는 바로 지원을 했고 주민등록까지 진안으로 옮겨 인생을 다시 시작했다.,그는 바로 지원을 했고 주민등록까지 <진안:LOC>으로 옮겨 인생을 다시 시작했다.
영화가 제작에 들어간 것은 지난해 초였다.,영화가 제작에 들어간 것은 지난해 초였다.
"봉준호 감독의 ‘기생충’을 비롯해 개막작으로 선정된 짐 자무쉬 감독의 ‘더 데드 돈트 다이’, 자비에 돌란 감독의 ‘마티아스&맥심’ 등이 후보에 올랐다.","봉준호 감독의 ‘기생충’을 비롯해 개막작으로 선정된 짐 자무쉬 감독의 ‘더 데드 돈트 다이’, 자비에 돌란 감독의 ‘마티아스&맥심’ 등이 후보에 올랐다."
지 씨는 “(만날 때마다) 선물 값까지 포함해 하루에 최소한 1만 위안(약 183만 원)을 받았는데 공무원 월급으로 어떻게 그렇게 많은 돈을 쓸 수 있는지 이상했다”고 말했다.,지 씨는 “(만날 때마다) 선물 값까지 포함해 하루에 최소한 1만 위안(약 183만 원)을 받았는데 공무원 월급으로 어떻게 그렇게 많은 돈을 쓸 수 있는지 이상했다”고 말했다.
내년 1월1일부터 적용되는 새 최저생계비는 기초생활보장이나 차상위계층 지원 등 각종 사회복지 대상자 및 지원액을 정할 때 기준으로 쓰인다.,내년 1월1일부터 적용되는 새 최저생계비는 기초생활보장이나 차상위계층 지원 등 각종 사회복지 대상자 및 지원액을 정할 때 기준으로 쓰인다.
정 대표는 당시 오자와 이치로 민주당 간사장 등과 만나 “만약 북한의 관여 사실이 드러난다면 한국도 중대한 결단을 하지 않으면 안 된다”고 밝혔다.,정 대표는 당시 오자와 이치로 민주당 간사장 등과 만나 “만약 북한의 관여 사실이 드러난다면 <한국:LOC>도 중대한 결단을 하지 않으면 안 된다”고 밝혔다.
국민은행은 11일 천안 KB인재개발원체육관에서 열린 신세계와의 경기에서 정선화(21점)와 김영옥(15점)의 활약을 앞세워 81-77로 이겼다.,국민은행은 11일 <천안:LOC> KB인재개발원체육관에서 열린 신세계와의 경기에서 정선화(21점)와 김영옥(15점)의 활약을 앞세워 81-77로 이겼다.
"오키나와 후텐마 미 해병대 기지 이전 문제와 미국령 괌으로의 철수 문제를 둘러싼 미-일 간의 줄다리기를 봐도, 미국은 국방비를 줄일지라도 태평양 해군전력을 줄일 생각은 전혀 없어 보인다.","<오키나와:LOC> <후텐마:LOC> <미:LOC> 해병대 기지 이전 문제와 <미국령 괌:LOC>으로의 철수 문제를 둘러싼 미-일 간의 줄다리기를 봐도, 미국은 국방비를 줄일지라도 <태평양:LOC> 해군전력을 줄일 생각은 전혀 없어 보인다."
"이 회장은 “참을성과 인내심의 끝에는 진실이 있고, 진실의 끝에는 대변화와 개혁이 있다고 생각한다.","이 회장은 “참을성과 인내심의 끝에는 진실이 있고, 진실의 끝에는 대변화와 개혁이 있다고 생각한다."
"텐센트는 넷마블을 비롯해 카카오게임즈, ‘배틀그라운드’를 개발 서비스하고 있는 크래프톤(구 블루홀)에 상당한 수준의 지분투자를 했다.","텐센트는 넷마블을 비롯해 카카오게임즈, ‘배틀그라운드’를 개발 서비스하고 있는 크래프톤(구 블루홀)에 상당한 수준의 지분투자를 했다."
"포드는 레이스 우승자 출신 자동차 엔지니어 캐록 셸비(맷 데이먼 분)를 영입하고, 캐록 셸비는 고집 있는 성격의 소유자지만 최고의 실력을 지닌 켄 마일스(크리스찬 베일 분)과 함께한다.","포드는 레이스 우승자 출신 자동차 엔지니어 캐록 셸비(맷 데이먼 분)를 영입하고, 캐록 셸비는 고집 있는 성격의 소유자지만 최고의 실력을 지닌 켄 마일스(크리스찬 베일 분)과 함께한다."
경쟁에 합류할 새로운 영웅을 포함해 보다 자세한 블리자드의 계획은 개발이 진행됨에 따라 추후 발표될 예정이다.,경쟁에 합류할 새로운 영웅을 포함해 보다 자세한 블리자드의 계획은 개발이 진행됨에 따라 추후 발표될 예정이다.
W몰 역시 가산디지털단지 밖으로의 진출을 구상 중이다.,W몰 역시 <가산디지털단지:LOC> 밖으로의 진출을 구상 중이다.
2월에는 이스라엘이 민간 최초의 달 탐사선 베레시트를 발사했다.,2월에는 <이스라엘:LOC>이 민간 최초의 달 탐사선 베레시트를 발사했다.
이에 대해 경기도 소방재난본부 관계자는 “통화 내용을 사용한 교육은 상황을 객관적으로 보여주고 소방관들이 판단하도록 하기 위해서였다”고 말했다.,이에 대해 <경기도:LOC> 소방재난본부 관계자는 “통화 내용을 사용한 교육은 상황을 객관적으로 보여주고 소방관들이 판단하도록 하기 위해서였다”고 말했다.
"얇고 가벼운 V 시리즈의 디자인을 계승한 LG V50 ThinQ 5G로 휴대 편의성을 높이면서도, 고객이 원할 때만 큰 화면으로 여러 앱을 동시에 즐길 수 있는 탈착식 올레드 디스플레이 ‘LG 듀얼 스크린’을 솔루션으로 제시했다고 LG는 밝혔다.","얇고 가벼운 V 시리즈의 디자인을 계승한 LG V50 ThinQ 5G로 휴대 편의성을 높이면서도, 고객이 원할 때만 큰 화면으로 여러 앱을 동시에 즐길 수 있는 탈착식 올레드 디스플레이 ‘LG 듀얼 스크린’을 솔루션으로 제시했다고 LG는 밝혔다."
다중접속온라인게임(MMORPG) ‘테라’로 E3에 처음 참가한 게임 개발사 ‘블루홀 스튜디오’는 미국 진출 2년 만에 북미 단독 배급사 ‘엔매스 엔터테인먼트’를 차렸다.,다중접속온라인게임(MMORPG) ‘테라’로 E3에 처음 참가한 게임 개발사 ‘블루홀 스튜디오’는 <미국:LOC> 진출 2년 만에 <북미:LOC> 단독 배급사 ‘엔매스 엔터테인먼트’를 차렸다.
