doc,label
정영조(48) 한국 자동차경주협회 회장이 최근 FIA(국제자동차연맹) F1 위원회(Formula One Commission) 상임위원으로 선출됐다.,정영조(48) 한국 자동차경주협회 <회장:CVL>이 최근 FIA(국제자동차연맹) F1 위원회(Formula One Commission) <상임위원:CVL>으로 선출됐다.
핀란드와 한국은 둘 다 OECD 학업성취도평가에서 꾸준히 최상위권에 있는 교육 강국이다.,핀란드와 한국은 둘 다 OECD 학업성취도평가에서 꾸준히 최상위권에 있는 교육 강국이다.
미국 백악관 안주인인 미셸 오바마는 알렉산더 매퀸의 옷을 입었다가 미국 패션계의 입길에 올랐다.,미국 백악관 안주인인 미셸 오바마는 알렉산더 매퀸의 옷을 입었다가 미국 패션계의 입길에 올랐다.
공무원들을 당장 늘리는 것은 한계가 있기 때문에 과거 병영국가에서 해오던 민방위업무 공무원을 복지업무 공무원으로 전용하는 것도 생각해 봐야 한다”고 말했다.,<공무원:CVL>들을 당장 늘리는 것은 한계가 있기 때문에 과거 병영국가에서 해오던 민방위업무 <공무원:CVL>을 복지업무 <공무원:CVL>으로 전용하는 것도 생각해 봐야 한다”고 말했다.
"바깥에서는 뚜렷한 성과가 없다고 말하기도 하지만, 연구팀은 아시아코끼리와 매머드 유전체를 비교 분석하는 작업을 계속하고 있습니다.","바깥에서는 뚜렷한 성과가 없다고 말하기도 하지만, 연구팀은 아시아코끼리와 매머드 유전체를 비교 분석하는 작업을 계속하고 있습니다."
"이는 중국 등의 논리로, 잘못된 것이다.""","이는 중국 등의 논리로, 잘못된 것이다."""
안현필의 독주는 1967년 출간된 송성문의 '정통종합영어'(훗날 '성문종합영어')로 세대교체를 이룬다.,안현필의 독주는 1967년 출간된 송성문의 '정통종합영어'(훗날 '성문종합영어')로 세대교체를 이룬다.
동아일보가 박카스와 비타500의 편의점 매출을 분석한 결과 편의점 대표 드링크 자리는 비타500에서 박카스로 넘어간 것으로 나타났다.,동아일보가 <박카스:CVL>와 <비타500:CVL>의 편의점 매출을 분석한 결과 편의점 대표 드링크 자리는 <비타500:CVL>에서 <박카스:CVL>로 넘어간 것으로 나타났다.
수색 작업이 진행된 210일 동안 희생자 304명 중 295구의 시신을 수습한 것은 이처럼 가족과 정부가 쌓은 신뢰도 한몫했을 것이다.,수색 작업이 진행된 210일 동안 희생자 304명 중 295구의 시신을 수습한 것은 이처럼 <가족:CVL>과 정부가 쌓은 신뢰도 한몫했을 것이다.
"페멕스는 ""잘 해야 비효율, 못하면 부패""라는 비난도 받았다.","페멕스는 ""잘 해야 비효율, 못하면 부패""라는 비난도 받았다."
유정호는 영상에서 “지금 징역 2년형을 구형받은 상태”라며 “이 영상이 마지막일 수도 있어 인사드린다”고 말했다.,유정호는 영상에서 “지금 <징역 2년형:CVL>을 구형받은 상태”라며 “이 영상이 마지막일 수도 있어 인사드린다”고 말했다.
"서울중앙지검의 한 관계자는 “많이 사라져 가고 있지만, 스폰서 문화를 인간관계의 한 종류로 생각하는 사람들이 여전히 존재한다”고 말했다.","서울중앙지검의 한 관계자는 “많이 사라져 가고 있지만, 스폰서 문화를 인간관계의 한 종류로 생각하는 사람들이 여전히 존재한다”고 말했다."
