doc,label
각종 의혹이 제기된 우 수석을 박근혜 대통령이 교체하기로 결심한다면 개각과 동시에 이뤄질 것이라는 전망이 우세했다.,각종 의혹이 제기된 우 수석을 박근혜 대통령이 교체하기로 결심한다면 개각과 동시에 이뤄질 것이라는 전망이 우세했다.
"미국 대통령들은 선거에선 중국에 강경했다가도, 당선·취임 뒤에는 유화적으로 되곤 했다.","미국 대통령들은 선거에선 중국에 강경했다가도, 당선·취임 뒤에는 유화적으로 되곤 했다."
"골프는 타이거 우즈의 뒤를 이어 잭 니클라우스(69)와 아널드 파머(80), 필 미켈슨(39), 마스터스 대회의 창시자 보비 존스(사망·이상 미국)가 차례로 꼽혔다.","골프는 타이거 우즈의 뒤를 이어 잭 니클라우스(<69:QNT>)와 아널드 파머(<80:QNT>), 필 미켈슨(<39:QNT>), 마스터스 대회의 창시자 보비 존스(사망·이상 미국)가 차례로 꼽혔다."
도종환 의원 “청·차은택 깊게 개입”,도종환 의원 “청·차은택 깊게 개입”
‘시장 선도자’는 아이폰을 내놓고 시장을 뒤흔든 애플이었다.,‘시장 선도자’는 아이폰을 내놓고 시장을 뒤흔든 애플이었다.
총선 승리 이후 각종 양자대결 여론조사 결과 새누리당 박근혜 의원은 40대에서 안철수 서울대 융합과학기술대학원장을 5%포인트 안팎으로 앞섰지만 7월 19일 안 원장이 ‘안철수의 생각’을 펴낸 뒤 상황이 달라졌다.,총선 승리 이후 각종 양자대결 여론조사 결과 새누리당 박근혜 의원은 <40대:QNT>에서 안철수 서울대 융합과학기술대학원장을 <5%포인트 안팎:QNT>으로 앞섰지만 <7월 19일:DAT> 안 원장이 ‘안철수의 생각’을 펴낸 뒤 상황이 달라졌다.
"현재 LG전자, LG디스플레이, LG이노텍, LG화학, LG하우시스, LG생활건강, LG유플러스, LG CNS 등 8개 계열사 연구인력 1만7000명이 근무 중이다.","현재 LG전자, LG디스플레이, LG이노텍, LG화학, LG하우시스, LG생활건강, LG유플러스, LG CNS 등 <8개:QNT> 계열사 연구인력 <1만7000명:QNT>이 근무 중이다."
여학생의 경우 고3은 물론 중3도 10년 전과 비교해 0.2㎝씩 준 것으로 조사됐다.,여학생의 경우 <고3:QNT>은 물론 <중3:QNT>도 <10년 전:DAT>과 비교해 <0.2㎝씩:QNT> 준 것으로 조사됐다.
'식당밥'이라는 폄하에도 아랑곳없이 자신이 외식사업가임을 숨기지 않는다.,'식당밥'이라는 폄하에도 아랑곳없이 자신이 외식사업가임을 숨기지 않는다.
“다른 일도 마찬가지겠지만 축구도 하루아침에 되는 것이 아니다.,“다른 일도 마찬가지겠지만 축구도 하루아침에 되는 것이 아니다.
디자인의 세계에 끝은 없다.,디자인의 세계에 끝은 없다.
한국외국어대에 재학하는 원주현 씨(23)는 “모집 마감일이 한눈에 들어오지 않는다.,한국외국어대에 재학하는 원주현 씨(<23:QNT>)는 “모집 마감일이 한눈에 들어오지 않는다.
"푸른 눈의 외국인이 노량진 수산시장에서 산 낙지를 보고 ‘이걸 어떻게 먹느냐’고 질색하는 건 한국 TV에서도 많이 본 모습 같지만, 그 낙지에 ‘새뮤얼’이란 이름을 붙인 뒤 서울 곳곳을 함께 돌아다니며 우정을 쌓는 건 이 미국 촌놈만이 보여줄 수 있는 독특한 개그 감각이다.","푸른 눈의 외국인이 노량진 수산시장에서 산 낙지를 보고 ‘이걸 어떻게 먹느냐’고 질색하는 건 한국 TV에서도 많이 본 모습 같지만, 그 낙지에 ‘새뮤얼’이란 이름을 붙인 뒤 서울 곳곳을 함께 돌아다니며 우정을 쌓는 건 이 미국 촌놈만이 보여줄 수 있는 독특한 개그 감각이다."
김 대표는 6일 오전 부산 중구·영도구 공천 신청자 3명과 함께 서울 여의도 당사 공천장에 들어섰다.,김 대표는 <6일:DAT> 오전 부산 중구·영도구 공천 신청자 <3명:QNT>과 함께 서울 여의도 당사 공천장에 들어섰다.
마이린TV 영상은 주로 린이의 평소 생활을 보여준다.,마이린TV 영상은 주로 린이의 평소 생활을 보여준다.
아프리카TV 관계자는 “아시안컵 방송 시청자 수는 내부 기대를 뛰어넘는 수준”이라고 말했다.,아프리카TV 관계자는 “아시안컵 방송 시청자 수는 내부 기대를 뛰어넘는 수준”이라고 말했다.
"이제 희중 검사님은 굉장히 지우에게 뭐라고 해야 할까, 삼촌 같은 인물인 거다.","이제 희중 검사님은 굉장히 지우에게 뭐라고 해야 할까, 삼촌 같은 인물인 거다."
"적발되면 경범죄처벌법에 따라 20만원 이하의 벌금, 구류 혹은 과료에 처해진다.","적발되면 경범죄처벌법에 따라 <20만원 이하:QNT>의 벌금, 구류 혹은 과료에 처해진다."
"우그벨 로아 베네수엘라 과학기술부 장관은 ""지난 7일에 시작된 테러리스트들의 사이버 공격이 국영 이동통신사 모빌넷에 영향을 미쳤다""며 ""1300만명의 가입자 중 700만명의 휴대전화 서비스가 중단됐다""고 밝혔다고 AFP통신 등이 10일 보도했다.","우그벨 로아 베네수엘라 과학기술부 장관은 ""<지난 7일:DAT>에 시작된 테러리스트들의 사이버 공격이 국영 이동통신사 모빌넷에 영향을 미쳤다""며 ""<1300만명:QNT>의 가입자 중 <700만명:QNT>의 휴대전화 서비스가 중단됐다""고 밝혔다고 AFP통신 등이 <10일:DAT> 보도했다."
2003년 9월9일부터 지금까지 남자복식 세계 정상의 자리를 지키고 있다.,<2003년 9월9일부터:DAT> 지금까지 남자복식 세계 정상의 자리를 지키고 있다.
기형도의 시를 모티브 삼아 젊은 시인들이 새로 읽고 써낸 시는 한국 현대시단의 가장 젊은 에너지가 응축돼 있다.,기형도의 시를 모티브 삼아 젊은 시인들이 새로 읽고 써낸 시는 한국 현대시단의 가장 젊은 에너지가 응축돼 있다.
다음 날 송 씨가 정상 체온을 되찾자 K 원장은 컴퓨터단층촬영(CT) 검사와 흉부 X선 검사 결과 특별한 이상이 없다며 퇴원 조치를 취했다.,<다음 날:DAT> 송 씨가 정상 체온을 되찾자 K 원장은 컴퓨터단층촬영(CT) 검사와 흉부 X선 검사 결과 특별한 이상이 없다며 퇴원 조치를 취했다.
"지난 2015년 대한안과학회가 발표한 자료에 따르면, 지난 10년간 황반변성 유병률은 104.8% 증가했고 60대 이상은 106.2%, 70대 이상은 167.7%에 달한다.","<지난 2015년:DAT> 대한안과학회가 발표한 자료에 따르면, <지난 10년간:DAT> 황반변성 유병률은 <104.8%:QNT> 증가했고 <60대 이상:QNT>은 <106.2%:QNT>, <70대 이상:QNT>은 <167.7%:QNT>에 달한다."
어젯밤(11일)에도 오현표 운영팀장이 만나 이런저런 얘기를 나눴다”며 “일단 몸을 추스르고 팀에 합류해 훈련하면 여러가지 말들도 들어가고 팬들과의 오해 또한 풀릴 수 있는 문제라고 설득하고 있다”고 밝혔다.,어젯밤(<11일:DAT>)에도 오현표 운영팀장이 만나 이런저런 얘기를 나눴다”며 “일단 몸을 추스르고 팀에 합류해 훈련하면 여러가지 말들도 들어가고 팬들과의 오해 또한 풀릴 수 있는 문제라고 설득하고 있다”고 밝혔다.
아무한테나 도움을 청할 순 없으니 남편을 찾아온 것이다.,아무한테나 도움을 청할 순 없으니 남편을 찾아온 것이다.
"2011년 프랑스 최우수 기능장이자 프랑스 파리의 명문 요리학교 페랑디의 교수인 에리크 트로숑, 미국의 크리스토퍼 코스토프와 프랭크 카트로노보, 프랭크 팔시넬리까지 프랑스와 미국을 대표하는 유명 레스토랑의 스타 셰프들이 참여했다.","<2011년:DAT> 프랑스 최우수 기능장이자 프랑스 파리의 명문 요리학교 페랑디의 교수인 에리크 트로숑, 미국의 크리스토퍼 코스토프와 프랭크 카트로노보, 프랭크 팔시넬리까지 프랑스와 미국을 대표하는 유명 레스토랑의 스타 셰프들이 참여했다."
강광배 감독이 이끄는 봅슬레이 대표팀은 그동안 묵묵히 불모지를 개척하며 4인승 종목에서 첫 올림픽 출전권을 따냈다.,강광배 감독이 이끄는 봅슬레이 대표팀은 그동안 묵묵히 불모지를 개척하며 <4인승:QNT> 종목에서 첫 올림픽 출전권을 따냈다.
